,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
233,"['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse']",Henri-Georges Clouzot (as H.G. Clouzot),https://www.imdb.com//title/tt0046911/,1955,234,8.0,The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.,Demonen
234,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott']",Harold Ramis,https://www.imdb.com//title/tt0107048/,1993,235,8.0,A weatherman finds himself inexplicably living the same day over and over again.,Groundhog Day
235,"['Judy Garland', 'Frank Morgan', 'Ray Bolger']","Directors:
Victor Fleming, George Cukor (uncredited)            |
4 more credits »",https://www.imdb.com//title/tt0032138/,1939,236,8.0,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,The Wizard of Oz
236,"['Emma Stone', 'Viola Davis', 'Octavia Spencer']",Tate Taylor,https://www.imdb.com//title/tt1454029/,2011,237,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",The Help
237,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']",Steven Spielberg,https://www.imdb.com//title/tt0073195/,1975,238,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Jaws
238,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']",Richard Linklater,https://www.imdb.com//title/tt0381681/,2004,239,8.0,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Before Sunset
239,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper']",James Gunn,https://www.imdb.com//title/tt2015381/,2014,240,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Guardians of the Galaxy
240,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell']",Wim Wenders,https://www.imdb.com//title/tt0087884/,1984,241,8.0,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","Paris, Texas"
241,"['Anna Paquin', 'James Van Der Beek', 'Cloris Leachman']",Hayao Miyazaki,https://www.imdb.com//title/tt0092067/,1986,242,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Tenkû no shiro Rapyuta
242,"['Giulietta Masina', 'François Périer', 'Franca Marzi']",Federico Fellini,https://www.imdb.com//title/tt0050783/,1957,243,8.0,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Le notti di Cabiria
243,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom']",Gore Verbinski,https://www.imdb.com//title/tt0325980/,2003,244,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Pirates of the Caribbean: The Curse of the Black Pearl
244,"[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']","Directors:
Gary Trousdale, Kirk Wise",https://www.imdb.com//title/tt0101414/,1991,245,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Belle en het Beest
245,"['Myrna Loy', 'Dana Andrews', 'Fredric March']",William Wyler,https://www.imdb.com//title/tt0036868/,1946,246,8.0,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,De beste jaren van ons leven
246,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']",William Friedkin,https://www.imdb.com//title/tt0070047/,1973,247,8.0,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",The Exorcist
247,"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui']",Anurag Kashyap,https://www.imdb.com//title/tt1954470/,2012,248,8.0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Gangs of Wasseypur
248,"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder']",Krzysztof Kieslowski,https://www.imdb.com//title/tt0111495/,1994,249,8.0,A model discovers her neighbor is keen on invading people's privacy.,Trois couleurs: Rouge
249,"['Al Pacino', 'John Cazale', 'Penelope Allen']",Sidney Lumet,https://www.imdb.com//title/tt0072890/,1975,250,8.0,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.,Dog Day Afternoon
